"tl2_id","tl1_id","iso3","name_or","name_en","name_fr","continenta","reg_name_p","EU","EEA","mapineq"
"HU33","HUN24","HUN","Del-Alfold/Southern Great Plain","Southern Great Plain","Grande Plaine du Sud","f","S. Great Plain",TRUE,TRUE,TRUE
"IE04","IRL15","IRL","Northern and Western","Northern and Western","Northern and Western","f","Northern and Western",TRUE,TRUE,TRUE
"IE05","IRL15","IRL","Southern","Southern","Southern","f","Southern",TRUE,TRUE,TRUE
"IE06","IRL15","IRL","Eastern and Midland","Eastern and Midland","Eastern and Midland","f","Eastern and Midland",TRUE,TRUE,TRUE
"IL01","ISR65","ISR","Jerusalem district","Jerusalem district","Jerusalem district","t","Jerusalem",FALSE,FALSE,FALSE
"IL02","ISR65","ISR","Northern district","Northern district","Northern district","t","North",FALSE,FALSE,FALSE
"IL03","ISR65","ISR","Haifa district","Haifa district","Haifa district","t","Haifa",FALSE,FALSE,FALSE
"IL04","ISR65","ISR","Central district","Central district","Central district","t","Central",FALSE,FALSE,FALSE
"IL05","ISR65","ISR","Tel Aviv district","Tel Aviv district","Tel Aviv district","t","Tel Aviv",FALSE,FALSE,FALSE
"IL06","ISR65","ISR","Southern district","Southern district","Southern district","t","South",FALSE,FALSE,FALSE
"IS01","ISL2","ISL","Höfuðborgarsvæði","Greater Reykjavík","Grand Reykjavik","f","Reykjavik Region",FALSE,TRUE,TRUE
"IS02","ISL2","ISL","Landsbyggð","Other regions","Autres régions","f","Other regions",FALSE,TRUE,TRUE
"ITC1","ITA59","ITA","Piemonte","Piedmont","Piémont","f","Piedmont",TRUE,TRUE,TRUE
"ITC2","ITA59","ITA","Valle d'Aosta/Vallée d'Aoste","Aosta Valley","Vallée d'Aoste","f","Aosta Valley",TRUE,TRUE,TRUE
"ITC3","ITA59","ITA","Liguria","Liguria","Ligurie","f","Liguria",TRUE,TRUE,TRUE
"ITC4","ITA59","ITA","Lombardia","Lombardy","Lombardie","f","Lombardy",TRUE,TRUE,TRUE
"ITF1","ITA59","ITA","Abruzzo","Abruzzo","Abruzzes","f","Abruzzo",TRUE,TRUE,TRUE
"ITF2","ITA59","ITA","Molise","Molise","Molise","f","Molise",TRUE,TRUE,TRUE
"ITF3","ITA59","ITA","Campania","Campania","Campanie","f","Campania",TRUE,TRUE,TRUE
"ITF4","ITA59","ITA","Puglia","Apulia","Pouilles","f","Apulia",TRUE,TRUE,TRUE
"ITF5","ITA59","ITA","Basilicata","Basilicata","Basilicate","f","Basilicata",TRUE,TRUE,TRUE
"ITF6","ITA59","ITA","Calabria","Calabria","Calabre","f","Calabria",TRUE,TRUE,TRUE
"ITG1","ITA59","ITA","Sicilia","Sicily","Sicile","f","Sicily",TRUE,TRUE,TRUE
"ITG2","ITA59","ITA","Sardegna","Sardinia","Sardaigne","f","Sardinia",TRUE,TRUE,TRUE
